group,output,generator,status,notes
B-4,N8_N9_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
B-4,N10_N11_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
B-4,N12_N13_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
B-4,N14_N15_comparison_summary.csv,B4_comparison/build_pair_comparison_summary.py,RECONSTRUCTED_EXACT,all six string-level validated
B-5,MITM_N6_N13_k5_k6.csv,B5_nontrivial/run_mitm_surveys.py,RECONSTRUCTED_ALGORITHM,MITM deterministic; runtime differs by machine
B-5,targeted_MITM_N14_N16.csv,B5_nontrivial/run_mitm_surveys.py,RECONSTRUCTED_ALGORITHM,MITM deterministic; runtime differs by machine
B-5,N3_N16_nontrivial_closure_assessment.csv,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-5,N3_N16_nontrivial_closure_summary.csv,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-5,N3_N16_small_subset_closure_classification.csv,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-5,N3_N16_trivial_vs_nontrivial_small_closures.png,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-5,N5_nontrivial_pair_closure_graph.png,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-5,N5_vs_N14_nontrivial_closure_time_evolution.png,B5_nontrivial/rebuild_nontrivial_zero_closure_analysis.py,RECONSTRUCTED_EQUIVALENT,tables validated; figures content-equivalent
B-6,N14_N16_all_cardinalities_best_results.csv,B6_all_cardinalities/aggregate_search_results.py,PARTIAL_HISTORICAL_GAP,aggregator validated; historical anneal steps/seed unavailable
B-6,N14_N16_summary.csv,B6_all_cardinalities/aggregate_search_results.py,PARTIAL_HISTORICAL_GAP,aggregator validated; historical anneal steps/seed unavailable
B-6,N14_N16_best_residual_vs_k.png,B6_all_cardinalities/aggregate_search_results.py,PARTIAL_HISTORICAL_GAP,aggregator validated; historical anneal steps/seed unavailable
B-6,N14_N16_residual_heatmap.png,B6_all_cardinalities/aggregate_search_results.py,PARTIAL_HISTORICAL_GAP,aggregator validated; historical anneal steps/seed unavailable
B-6,N14_best_k6_candidate_time_evolution.csv,B6_all_cardinalities/build_time_evolution_and_n5_covers.py,RECONSTRUCTED_EXACT,CSV outputs validated
B-6,N5_best_nontrivial_pair_time_evolution.csv,B6_all_cardinalities/build_time_evolution_and_n5_covers.py,RECONSTRUCTED_EXACT,CSV outputs validated
B-6,N5_nontrivial_pair_exact_covers.csv,B6_all_cardinalities/build_time_evolution_and_n5_covers.py,RECONSTRUCTED_EXACT,CSV outputs validated
B-6,N14_candidate_vs_N5_benchmark_time_evolution.png,B6_all_cardinalities/build_time_evolution_and_n5_covers.py,RECONSTRUCTED_EXACT,CSV outputs validated
B-7,N3_N16_zero_subset_exact_covers.csv,B7_partial/write_zero_subset_alias.py,ALIAS_EXACT,byte-identical alias of zero_triple_exact_covers
